emoji	keywords
🧑‍🔬	biologist, chemist, engineer, mathematician, physicist, scientist, இயற்பியலாளர், உயிரியலாளர், பொறியாளர், விஞ்ஞானி, வேதியியலாளர்
🧑‍🦯	accessibility, blind, cane, person, probing, white, கண், கோளாறு, தடியுடன், தெரியாதவர், நடக்கும், நபர், பார்வை
🧑‍🦯‍➡️	accessibility, blind, cane, facing, person, probing, right, white
🧑‍🦼	accessibility, in, motorized, person, wheelchair, அணுகல்தன்மை, இருக்கும், சக்கர, நபர், நாற்காலி, நாற்காலியில், மோட்டார்
🧑‍🦼‍➡️	accessibility, facing, in, motorized, person, right, wheelchair
🧑‍🦽	accessibility, in, manual, person, wheelchair, அணுகல்தன்மை, இருக்கும், உந்தப்படும், கையால், சக்கர, நபர், நாற்காலி, நாற்காலியில்
🧑‍🦽‍➡️	accessibility, facing, in, manual, person, right, wheelchair
🧑‍🩰	ballet, dancer, கலைஞர், டான்சர், டான்ஸர், நடனக், பாலட்
🧑‍🚀	astronaut, rocket, space, ராக்கெட், விண்வெளி, வீரர்
🧑‍🚒	fire, firefighter, firetruck, தீயணைப்பு, வண்டி, வீரர்
🧕	bandana, head, headscarf, hijab, kerchief, mantilla, tichel, woman, அணிந்த, டிசெல், தலை, தலையில், பெண், மாண்டிலா, ஸ்கார்ஃப், ஹிஜாப்
🧖	day, in, luxuriou, luxurious, pamper, person, relax, room, sauna, spa, steam, steambath, steamy, unwind, அறை, குளிக்கும், குளியல், சவானா, நபர், நீராவி, நீராவிக், ஸ்பா
🧖‍♀️	day, in, luxuriou, luxurious, pamper, relax, room, sauna, spa, steam, steambath, steamy, unwind, woman, அறை, எடுக்கும், குளியல், சவானா, நீராவி, நீராவிக், பெண்
🧖‍♂️	day, in, luxuriou, luxurious, man, pamper, relax, room, sauna, spa, steam, steambath, steamy, unwind, அறை, ஆண், எடுக்கும், குளியல், சவானா, நீராவி, நீராவிக்
🧗	climb, climber, climbing, mountain, person, rock, scale, up, ஏறும், நபர், பெண், மலை, மலையேறுபவர், மலையேற்றம்
🧗‍♀️	climb, climber, climbing, mountain, rock, scale, up, woman, பெண், மலை, மலையேறுபவர், மலையேறும், மலையேற்றம்
🧗‍♂️	climb, climber, climbing, man, mountain, rock, scale, up, ஆண், மலை, மலையேறுபவர், மலையேறும், மலையேற்றம்
🧘	cros, cross, in, leg, legged, legs, lotu, lotus, meditation, peace, person, position, relax, serenity, yoga, yogi, zen, அமைதி, ஆசனம், சம்மணம், ஜென், தியானம், நபர், பத்மாசனம், பெண், யோகா
🧘‍♀️	cros, cross, in, leg, legged, legs, lotu, lotus, meditation, peace, position, relax, serenity, woman, yoga, yogi, zen, ஆசனம், செய்யும், தியானம், பத்மாசனம், பெண், யோகா
🧘‍♂️	cros, cross, in, leg, legged, legs, lotu, lotus, man, meditation, peace, position, relax, serenity, yoga, yogi, zen, ஆசனம், ஆண், செய்யும், தியானம், பத்மாசனம், யோகா
🧢	baseball, bent, billed, cap, dad, hat, கோடை, சின்னமுள்ள, தொப்பி, பேஸ்பால், பொருள், வெயில்
🧣	bundle, cold, neck, scarf, up, அணி, கழுத்து, குளிர், பொருள், ஸ்கார்ஃப், ஸ்டைல்
🧤	glove, gloves, hand, கிளவுஸ், கை, கையுறை, கையுறைகள், பாதுகாப்பு, பொருள்
🧥	brr, bundle, coat, cold, jacket, up, ஆடை, கம்பளி, குளிர், கோட், சிவப்பு, சூட், ஜாக்கெட், பொருள்
🧦	sock, socks, stocking, காலுறை, குளிர், சாக்ஸ், பொருள், ஸ்டாக்கிங்ஸ், ஸ்டைல்
🧧	envelope, gift, good, hóngbāo, lai, luck, money, red, see, உறை, கவர், சன்மானம், சிவப்பு, பணம், பரிசு, மொய், வாழ்த்து
🧨	dynamite, explosive, fire, firecracker, firework, fireworks, light, pop, popping, spark, டைனமைட், பாம், வானவேடிக்கை, வெடி, வெடிப்பொருள், வெடிமருந்து
🧩	clue, interlocking, jigsaw, piece, puzzle, க்ளூ, சேர்த்தல், ஜிக்ஸா, துண்டு, துப்பு, புதிர்
🧪	chemist, chemistry, experiment, lab, science, test, tube, அறிவியல், ஆய்வுக்கூடம், குழாய், சோதனைக், சோதனைக்குழாய், பரிசோதனை, பொருள், வேதியலாளர், வேதியியலர், வேதியியல்
🧫	bacteria, biologist, biology, culture, dish, lab, petri, ஆய்வகம், உயிரியலாளர், உயிரியல், கலாச்சாரம், டிஷ், பாக்டீரியா, பெட்ரி, பொருள்
🧬	biologist, dna, evolution, gene, genetic, genetics, life, உயிரியலாளர், ஜீன், டிஎன்ஏ, பரிணாமம், பொருள், மரபணு, மரபியல், வாழ்க்கை
🧭	compas, compass, direction, magnetic, navigation, orienteering, ஓரியன்ட், காம்பஸ், திசை, திசைகாட்டி, நேவிகேஷன், மேக்னட்டிக், வழி, வழிச்செலுத்தல்
🧮	abacu, abacus, calculation, calculator, அபாகஸ், அபாக்கஸ், கணக்கீடு, கணக்கு, கணிதம், கணிப்பான், பொருள்
🧯	extinguish, extinguisher, fire, quench, அணைத்தல், அணைப்பான், தணித்தல், தீ, தீயணைப்பான், பொருள்
🧰	box, chest, mechanic, red, tool, toolbox, கருவிப்பெட்டி, டூல், டூல்பாக்ஸ், மார்பு, மெக்கானிக்
🧱	brick, bricks, clay, mortar, wall, களிமண், காரை, சுவர், செங்கல், செங்கல்கள்
🧲	attraction, horseshoe, magnet, magnetic, negative, positive, shape, ஈர்ப்பு, காந்தம், குதிரைலாடம், லாடம்
🧳	bag, luggage, packing, roller, suitcase, travel, சூட்கேஸ், டிராலி, பயணப், பயணம், பேக்கிங், பொதி, லக்கேஜ், ஸ்ட்ராலி
🧴	bottle, lotion, moisturizer, shampoo, sunscreen, சன்ஸ்கிரீன், பாட்டில், பொருள், மாய்ஸ்சரைசர், லோஷன், ஷாம்பு
🧵	needle, sewing, spool, string, thread, இழை, ஊசி, கண்டு, சரம், தையல், நூல், ஸ்பூல்
🧶	ball, crochet, knit, yarn, குளிராடை, கைவேலை, கொக்கிப்பின்னல், க்ரோஷா, நூல்கண்டு, பந்து, பின்னல்
🧷	diaper, pin, punk, rock, safety, ஊக்கு, காப்பூசி, சேஃப்டி, டயபர், பங்க், பின், ராக்
🧸	bear, plaything, plush, stuffed, teddy, toy, கரடி, டாய், டெடி, டெடிபியர், டெட்டி, பஞ்சு, பட்டு, பியர், பொம்மை, பொம்மைக், விளையாட்டுப்பொருள், ஸாஃப்ட்
🧹	broom, cleaning, sweeping, witch, சுத்தம், சூனியக்காரி, துடைப்பம், துப்புரவு
🧺	basket, farming, laundry, picnic, கூடை, சலவை, சுற்றுலா, தேநீர், தோட்டம், பழம், விவசாயம்
🧻	of, paper, roll, toilet, towel, towels, காகித, சுருள், டவல், டாய்லெட், துடைப்பான், பேப்பர், பொருள், ரோல்
🧼	bar, bathing, clean, cleaning, lather, soap, soapdish, குளியல், சுத்தம், சோப், சோப்பு, டப்பா, நுரை, பொருள்
🧽	absorbing, cleaning, porou, porous, soak, sponge, உறிஞ்சி, உறிஞ்சுதல், சுத்தம், துளைகள், பொருள், ஸ்பாஞ்சு, ஸ்பான்ச், ஸ்பான்ஞ்
🧾	accounting, bookkeeping, evidence, invoice, proof, receipt, ஆதாரம், இன்வாய்ஸ், கணக்குவழக்கு, சாட்சியம், செலவு, பட்டியல், பொருள், ரசீது, வரவு, விலை, விலைப்பட்டியல்
🧿	amulet, bead, blue, charm, evil, eye, nazar, talisman, அழகு, ஆமுலட், கண், தயாத்து, தாயத்து, தீய, நாசர், நாஜர், நீலம், மணி
🩰	ballet, dance, shoe, shoes, காலணி, காலணிகள், நடனம், பாலே
🩱	bathing, one, piece, suit, swimsuit, ஆடை, குளியல், சூட், நீச்சல், ஸ்விம்
🩲	bathing, brief, briefs, one, piece, suit, swimsuit, underwear, அண்டர்வேர், அன்டர்வேர், ஆடை, உள்ளாடை, குறுங்கால்சட்டை, குளியல், ஜட்டி, நீச்சல், ப்ரீஃப்
🩳	bathing, pant, pants, short, shorts, suit, swimsuit, underwear, அண்டர்வேர், அன்டர்வேர், ஆடை, உள்ளாடை, கால்சட்டை, குளியல், டிரங்க்
🩴	beach, flip, flop, sandal, sandals, shoe, thong, thongs, zōri, ஃப்ளாப், ஃப்ளிப், செருப்பு, செருப்புகள், சோரி, தாங், தாங்குகள், பீச், ஸ்லிப்பர்
🩸	bleed, blood, donation, drop, injury, medicine, menstruation, of, இரத்த, இரத்தத், இரத்தம், தானம், துளி, மருந்துவம், மாதவிடாய்
🩹	adhesive, bandage, எய்ட், ஒட்டக்கூடிய, ஒட்டும், காயம், பாண்டேஜ், பாண்ட், பேண்டேஜ்
🩺	doctor, heart, medicine, stethoscope, இதயத்துடிப்பு, இதயம், துடிப்பு, மருத்துவம், மருத்துவர், ஸ்டெதஸ்கோப், ஸ்டெதாஸ்கோப்
🩻	bone, bones, doctor, medical, ray, skeleton, skull, xray, எக்ஸ்ரே, எலும்புகள், எலும்புக்கூடு, மருத்துவம், மருத்துவர்
🩼	aid, cane, crutch, disability, help, hurt, injured, mobility, stick, இயலாமை, உதவி, ஊன்றுகோல், காயம், குச்சி, நகர்வதற்கான, பிரம்பு
🪀	fluctuate, toy, yo, இறக்கம், ஏற்ற, பொம்மை, பொழுதுபோக்கு, யோ, யோயோ
🪁	fly, kite, soar, உயரப்பறத்தல், பட்டம், பறப்பது, பொழுதுபோக்கு
🪂	glide, hang, parachute, parasail, skydive, க்ளைட், டைவ், பாராசூட், ஸ்கை, ஹேங்க்
🪃	boomerang, rebound, repercussion, weapon, ஆயுதம், ஆஸ்திரேலியா, திரும்பி, பூமராங்க், ரீபவுன்ட், வருதல், விளையாட்டு
🪄	magic, magician, wand, witch, wizard, கோல், சூனியக்காரி, மந்திரக், மந்திரக்கோல், மந்திரம், மந்திரவாதி, மாயாஜாலம், மேஜிக்
🪅	candy, celebrate, celebration, cinco, de, festive, mayo, party, pinada, pinata, piñata, கொண்டாட்டம், திருவிழா, பார்ட்டி, பினாட்டா, மெக்சிகன், விழா
🪆	babooshka, baboushka, babushka, doll, dolls, matryoshka, nesting, russia, அம்மா, பொம்மை, பொம்மைகள், ரஷியா, ரஷ்யா
🪇	cha, dance, instrument, maraca, maracas, music, party, percussion, rattle, shake, shaker, இசை, கருவி, கிலுகிலுப்பை, குலுக்கல், சக், தாள, பொருள், மரக்காஸ், வாத்தியம், ஷேக்கர்
🪈	band, fife, flautist, flute, instrument, marching, music, orchestra, piccolo, pipe, recorder, woodwind, ஃபைஃப், இசை, இசைக், கருவி, கானம், கிருஷ்ணர், குழாய், புல்லாங்குழல், மரக்காற்று, ரெக்கார்டர்
🪉	cupid, harp, instrument, love, music, orchestra, இசை, இசைக்குழு, கருவி, காதல், மன்மதன், யாழ்
🪏	bury, dig, garden, hole, plant, scoop, shovel, snow, spade, குடைவுக்கருவி, குழி, குழிவெட்டி, தோண்டல், மண்வெட்டி
🪐	planet, ringed, saturn, saturnine, உள்ள, கிரகம், கோள், சனி, வளையம்
🪑	chair, seat, sit, இருக்கை, உட்காருதல், சீட், சேர், நாற்காலி, மர
🪒	razor, sharp, shave, கூர்மென்கத்தி, சவரக்கத்தி, பிளேடு, ரேசர், ரேஸர், ஷேவர், ஷேவ்
🪓	ax, axe, chop, hatchet, split, wood, கோடாரி, கோடாலி, மரக்கட்டை, மரம், வெட்டு, வெட்டுதல்
🪔	diya, lamp, light, oil, அகல், எண்ணெய், கார்த்திகை, ஜோதி, விளக்கு
🪕	banjo, music, stringed, இசை, ஐந்து, கருவி, தந்திக்கருவி, நரம்புக், பாஞ்சோ, பான்ஜோ
🪖	army, helmet, military, soldier, war, warrior, தலைக்கவசம், போர், மிலிட்டரி, ராணுவ, ராணுவத், ராணுவம், வீரர்
🪗	accordion, box, concertina, instrument, music, squeeze, squeezebox, அக்கார்டியன், அழுத்தும், இசை, இசைக்கருவி, இசைப், கான்செர்டினா, பெட்டி
🪘	beat, conga, drum, instrument, long, rhythm, இசை, இசைக்கருவி, கொட்டு, கோங்கா, தாளம், நீண்ட, பறை, மத்தளம், ரிதம்
🪙	coin, dollar, euro, gold, metal, money, rich, silver, treasure, உலோகம், காசு, தங்கம், நாணயம், பணம், புதையல், வெள்ளி
🪚	carpenter, carpentry, cut, lumber, saw, tool, trim, கருவி, கொலை, தச்சர், ரம்பம், லம்பர், வெட்டு
🪛	flathead, handy, screw, screwdriver, tool, கருவி, திருப்புளி, ஸ்க்ரூடிரைவர்
🪜	climb, ladder, rung, step, ஏணி, ஏணிப்படி, ஏனிப்படி, ஏறுதல், படி
🪝	catch, crook, curve, ensnare, hook, point, selling, இடம், கொக்கி, பிடித்தல், மாட்டி, வளைவு, விறபனை, ஹூக்
🪞	makeup, mirror, reflection, reflector, speculum, உலோகம், ஒப்பனை, கண்ணாடி, பிம்பம், பிரதிபலிப்பான், பிரதிபலிப்பு, மிரர், மெருகேற்றப்பட்ட, மேக்கப்
🪟	air, frame, fresh, opening, transparent, view, window, ஒளிப்புகும், காட்சி, காற்று, சட்டம், ஜன்னல், தன்மை, திறப்பு, தூய்மையான
🪠	cup, force, plumber, plunger, poop, suction, toilet, உறிஞ்சுதல், உறியும், கப், கழிவறை, சக்ஷன், ப்ளங்கர், ப்ளம்பர்
🪡	embroidery, needle, sew, sewing, stitche, stitches, suture, sutures, tailoring, thread, ஊசி, எம்பிராய்டரி, டெய்லரிங், தைத்தல், தையல்
🪢	cord, knot, rope, tangled, tie, twine, twist, கட்டு, கயிறு, சிக்கல், நூல், முடிச்சு, முறுக்கு
🪣	bucket, cask, pail, vat, குளியல், பக்கெட், பீப்பாய், வாளி
🪤	bait, cheese, lure, mouse, mousetrap, snare, trap, எலி, எலிப்பொறி, தூண்டில், பொறி, வலை
🪥	bathroom, brush, clean, dental, hygiene, teeth, toiletry, toothbrush, குளியலறை, சுகாதாரம், சுத்தம், டூத்பிரஷ், டெண்ட்டல், டென்டல், பற்கள், பல், பிரஷ்
🪦	cemetery, dead, grave, graveyard, headstone, memorial, rip, tomb, tombstone, இறப்பு, கல்லறை, கல்லறைக்கல், சமாதி, மயானம்
🪧	card, demonstration, notice, picket, placard, plaque, protest, ஆர்பாட்டம், குறியீடு, பதாகை, போராட்டம், மறியல்
🪨	boulder, heavy, rock, solid, stone, tough, கனம், கல், திடம், பாறாங்கல், பாறை
🪩	ball, dance, disco, glitter, mirror, party, உருண்டை, கண்ணாடி, கொண்டாட்டம், டிஸ்கோ, நடனம், பந்து, பார்ட்டி, மினுமினுப்பு
🪪	card, credential, credentials, document, id, identification, license, security, அடையாள, அடையாளம், அட்டை, ஆவணம், உரிமம், ஐடி, சான்றுகள், பாதுகாப்பு
🪫	battery, drained, electronic, energy, low, power, ஆற்றல், காலி, குறைந்த, பேட்டரி, மின்னணு
🪬	amulet, fatima, fortune, guide, hamsa, hand, mary, miriam, palm, protect, protection, அதிர்ஷ்டம், உள்ளங்கை, கை, தாயத்து, பாதுகாப்பு, பாத்திமா, மிரியம், மேரி, வழிகாட்டி, ஹம்சா
🪭	clack, clap, cool, cooling, dance, fan, flirt, flutter, folding, hand, hot, shy, ஃபேன், காற்று, குளிர்ச்சி, கை, சிறகடிப்பு, ஜப்பான், நடனம், பனை, மடிப்பு, விசிறி, வெட்கம், வெப்பம்
🪮	afro, comb, groom, hair, pick, அலங்காரம், ஆஃப்ரோ, கூந்தல், சிகை, சீப்பு, பிக், முடி, ஹேர்
🪰	animal, disease, fly, insect, maggot, pest, rotting, அழுகுதல், நோய், புழு, பூச்சி
🪱	animal, annelid, earthworm, parasite, worm, ஒட்டுண்ணி, புழு, மண்புழு, விலங்கு
🪲	animal, beetle, bug, insect, கடி, பக், பூச்சி, வண்டு, விலங்கு
🪳	animal, cockroach, insect, pest, roach, கரப்பான், காக்ரோச், பூச்சி
🪴	decor, grow, house, nurturing, plant, pot, potted, அலங்காரம், செடி, பானை, வளர்த்தல், வீடு
🪵	log, lumber, timber, wood, கட்டை, துண்டு, மரக்கட்டை, மரத், மரம்
🪶	bird, feather, flight, light, plumage, இறகு, இறக்கை, தோகை, பறத்தல், பறவை, லேசான
🪷	beauty, buddhism, calm, flower, hinduism, lotu, lotus, peace, purity, serenity, அமைதி, அழகு, இந்தியா, இந்து, தாமரை, தூய்மை, பௌத்தம், மதம், மலர், வியட்நாம்
🪸	change, climate, coral, ocean, reef, sea, கடல், காலநிலை, நீரடித்திட்டு, பவளம், பாறை, மாற்றம்
🪹	branch, empty, home, nest, nesting, கட்டுதல், காலியான, கிளை, கூடு, வீடு
🪺	bird, branch, egg, eggs, nest, nesting, உள்ள, கட்டுதல், கிளை, கூடு, முட்டை, முட்டைகள், வீடு
🪻	bloom, bluebonnet, flower, hyacinth, indigo, lavender, lilac, lupine, plant, purple, shrub, snapdragon, spring, violet, ஊதா, பதுமராகம், புளூபானெட், பூ, மலர், லாவண்டர், லாவெண்டர், லூபின், வெங்காயத்தாமரை, ஸ்னாப்டிராகன்
🪼	animal, aquarium, burn, invertebrate, jelly, jellyfish, life, marine, ocean, ouch, plankton, sea, sting, stinger, tentacle, tentacles, அக்வேரியம், அடடா, எரிதல், கடல், கொட்டுவது, சார்ந்தது, ஜெல்லி, ஜெல்லிமீன், முதுகெலும்பில்லாதது, விலங்கு
🪽	angelic, ascend, aviation, bird, fly, flying, heavenly, mythology, soar, wing, அமைதி, இறக்கை, சமாதானம், தேவதை, தொன்மவியல், பறப்பது, பறப்பியல், பறவை
🪾	bare, barren, branche, branches, dead, drought, leafles, leafless, tree, trunk, winter, wood, இலை, உதிர்ந்த, காய்ந்த, தரிசு, பனி, மரம்
🪿	animal, bird, duck, flock, fowl, gaggle, gander, geese, goose, honk, ornithology, silly, அன்னம், குஞ்சு, குவா, கூச்சல், பறவை, பெரிய, மடமை, வளர்ப்புப், வாத்தின், வாத்து, வாத்துக்
🫃	belly, bloated, full, man, overeat, pregnant, அளவுக்கு, ஆண், உணவுப், கருத்தரித்துள்ள, கருத்தரிப்பு, கர்ப்பம், சாப்பாட்டுராமன், சாப்பிடுதல், தொப்பை, நிரம்பிய, பிரியர், மீறி, வயிறு, வீங்கிய
🫄	belly, bloated, full, overeat, person, pregnant, stuffed, அதிகமாக, அளவுக்கு, உணவுப், கருத்தரித்துள்ள, கருத்தரிப்பு, கர்ப்பம், கர்ப்பிணி, சாப்பாட்டு, சாப்பிடுதல், தொப்பை, நபர், நிரம்பிய, பிரியர், ராமன், வயிறு, வீங்கிய
🫅	crown, monarch, noble, person, regal, royal, royalty, அணிந்த, அரசன், அரசர்க்குரியவர், அரசு, கிரீடம், நபர், பதவி, மகுடம், மேன்மையானவர், ராஜா, ராணி, ராயல்டி
🫎	alce, alces, animal, antler, antlers, elk, mammal, moose, எல்க், கடமான், கொம்புகள், பாலூட்டி, மூஸ், விலங்கு
🫏	animal, ass, burro, donkey, hinny, mammal, mule, stubborn, கழுதை, கோவேறிக்கழுதை, சகிப்புத்தன்மை, சிறு, சுமை, பாலூட்டி, பிடிவாதமானது, மந்தம், விலங்கு
🫐	berries, berry, bilberry, blue, blueberries, blueberry, food, fruit, உணவு, பழம், பில்பெர்ரி, பெர்ரி, ப்ளூ, ப்ளூபெர்ரி, ப்ளூபெர்ரிகள்
🫑	bell, capsicum, food, pepper, vegetable, உணவு, காய், குடை, பெப்பர், பெல், மிளகாய்
🫒	food, olive, ஆலிவ், உணவு
🫓	arepa, bread, flatbread, food, gordita, lavash, naan, pita, ஃபிளாட், அரேபா, உணவு, நான், பிடா, பிரட், லாவாஷ்
🫔	food, mexican, pamonha, tamale, wrapped, உணவு, சுற்றப்பட்டது, தமாலே, பமோன்ஹா, மெக்சிகன்
🫕	cheese, chocolate, fondue, food, melted, pot, ski, ஃபாண்டூ, உணவு, உருகியது, குவளை, சாக்கலேட், சுவிஸ், பாலாடைக்கட்டி
🫖	brew, drink, food, pot, tea, teapot, உணவு, குவளை, டீ, தேநீர், தேநீர்க், தேனீர், பானம்
🫗	accident, drink, empty, glas, glass, liquid, oop, oops, pour, pouring, spill, water, அச்சச்சோ, ஊற்று, ஊற்றுதல், கசிவு, கண்ணாடி, காலி, குவளை, சிந்துதல், தண்ணீர், திரவத்தை, நீர், பானம், விபத்து
🫘	bean, beans, food, kidney, legume, small, உணவு, காராமணி, குறைவு, சிறிது, சிறுநீரகம், பயறு, பயறுவகை, பீன்ஸ், ராஜ்மா
🫙	condiment, container, empty, jar, nothing, sauce, store, ஊறுகாய், ஒன்றுமில்லை, களஞ்சியம், காலி, கொள்கலன், சாஸ், ஜாடி
🫚	beer, ginger, health, herb, natural, root, spice, இஞ்சி, ஜிஞ்சர், டீ, பீர், மசாலா, மூலிகை, வேர்
🫛	bean, beans, beanstalk, edamame, legume, pea, pod, soybean, vegetable, veggie, எடமாம், காய், காய்கறி, கிரீன், பச்சைப், பட்டாணி, பருப்பு, பீன்ஸ், பீஸ், வகை
🫜	beet, food, garden, radish, root, salad, turnip, vegetable, vegetarian, காய்கறி, தோட்டம், நூல்கோல், பீட், வேர்
🫧	bubble, bubbles, burp, clean, floating, pearl, soap, underwater, குமிழி, குமிழிகள், குமிழ்கள், சுத்தம், சோப்பு, நீருக்கடியில், மிதத்தல், முத்து
🚀	launch, rocket, rockets, space, travel, ஏவுகணை, சோதனை, ராக்கெட், விண்வெளி
🚁	copter, helicopter, roflcopter, travel, vehicle, பயணம், வான்வழிப், விஐபி, ஹெலிகாப்டர்
🚂	caboose, engine, locomotive, railway, steam, train, trains, travel, எஞ்சின், தொடர், நீராவி, பயணம், புகை, வண்டி
🚃	car, electric, railway, train, tram, travel, trolleybu, trolleybus, இரயில், மின்சார, ரயில், வண்டி
🚄	high, railway, shinkansen, speed, train, இரயில், ரயில், வண்டி, விரைவு
🚅	bullet, high, nose, railway, shinkansen, speed, train, travel, இரயில், புல்லட், புல்லெட், ரயில், வண்டி
🚆	arrived, choo, railway, train, இரயில், டிரெயின், மெட்ரோ, ரயில், ரயில்வே, வண்டி
🚇️	metro, subway, travel, இரயில், சப்வே, டிரெயின், மெட்ரோ, ரயில், வண்டி, வாகனம்
🚈	arrived, light, monorail, rail, railway, இரயில், மோனோரயில், ரயில், ரயில்வே, லைட், வந்தடைந்தது
🚉	railway, station, train, இரயில், டிரெயின், நிறுத்தம், நிலையம், ரயில்
🚊	tram, trolleybu, trolleybus, டிராம், டிராலி, பஸ், வண்டி, வாகனம்
🚋	bus, car, tram, trolley, trolleybu, trolleybus, கார், கொல்கத்தா, டிராம், வாகனம்
🚌	bus, school, vehicle, பள்ளி, பஸ், பேருந்து, வாகனம்
🚍️	bus, car, cars, oncoming, பஸ், பேருந்து, வந்துகொண்டிருக்கிறது, வந்துகொண்டிருக்கும்
🚎	bus, tram, trolley, trolleybu, trolleybus, டிராம், டிராலி, ட்ராலிபஸ், பஸ், மின்சார
🚏	bus, busstop, stop, நிறுத்தம், பஸ், பேருந்து, ஸ்டாப், ஸ்டாப்பிங்
🚐	bus, drive, minibu, minibus, van, vehicle, சிற்றுந்து, பஸ், மினி, வாகனம், வேன்
🚑️	108, ambulance, emergency, vehicle, அவசரம், ஆம்புலன்ஸ், உதவி, எமர்ஜென்சி, மருத்துவ, வாகனம், விபத்து
🚒	engine, fire, truck, டிரக், தீ, தீயணைப்பு, வண்டி, வாகனம்
🚓	car, cop, cops, patrol, police, கார், காவல்துறை, போலீஸ், ரோந்து, வண்டி, வாகனம்
🚔️	car, oncoming, police, கார், காவல்துறை, போலீஸ், வண்டி, வந்துகொண்டிருக்கிறது, வந்துகொண்டிருக்கும், வாகனம்
🚕	cab, cabbie, car, drive, taxi, vehicle, yellow, ஊபர், ஓலா, கேப், டாக்சி, டாக்ஸி
🚖	cab, cabbie, car, cars, drove, hail, oncoming, taxi, yellow, ஊபர், ஓலா, கேப், டாக்சி, டாக்ஸி, வந்துகொண்டிருக்கும், வாடகை
🚗	automobile, car, driving, vehicle, ஆட்டோமொபைல், கார், மோட்டார், வண்டி, வாகனம்
🚘️	automobile, car, cars, drove, oncoming, vehicle, ஆட்டோமொபைல், கார், மோட்டார், வண்டி, வந்துகொண்டிருக்கிறது, வந்துகொண்டிருக்கும், வாகனம்
🚙	car, drive, recreational, sport, sportutility, utility, vehicle, எஸ், கொண்ட, நவீன, பேருந்து, யு, யூட்டிலிட்டி, வசதிகள், வாகனம், வி, ஸ்போர்ட்
🚚	car, delivery, drive, truck, vehicle, சரக்கு, டிரக், டெலிவரி, லாரி, வண்டி, வாகனம்
🚛	articulated, car, drive, lorry, move, semi, truck, vehicle, கனரக, சரக்கு, டிரக், பார்சல், பேக்கர்ஸ், மூவர்ஸ், லாரி, வாகனம்
🚜	tractor, vehicle, டிராக்டர், வண்டி, வாகனம், விவசாயம்
🚝	monorail, vehicle, மோனோரயில், வண்டி, வாகனம்
🚞	car, mountain, railway, trip, நீலகிரி, பயணம், பாதை, மலை, மலைப், ரயில்
🚟	railway, suspension, இரயில், தொங்கு, ரயில், ரயில்பாதை
🚠	cable, cableway, gondola, lift, mountain, ski, கேபிள், கேபிள்வழி, கொண்டோலா, பயணம், மலை, ஸ்கீ
🚡	aerial, cable, car, gondola, ropeway, tramway, ஏரியல், கார், கேபிள், கொண்டோலா, டிராம்வே, ரோப், வின்ச்
🚢	boat, passenger, ship, travel, கடல், கப்பல், டைட்டானிக், பயணம், ஷிப்
🚣	boat, canoe, cruise, fishing, lake, oar, paddle, person, raft, river, row, rowboat, rowing, ஆறு, ஏரி, துடுப்பு, தோணி, நபர், படகு, பரிசல்
🚣‍♀️	boat, canoe, cruise, fishing, lake, oar, paddle, raft, river, row, rowboat, rowing, woman, ஆறு, ஏரி, ஓடம், துடுப்பு, படகு, படகோட்டி, படகோட்டும், பிடித்தல், பெண், மீன், மீன்பிடி
🚣‍♂️	boat, canoe, cruise, fishing, lake, man, oar, paddle, raft, river, row, rowboat, rowing, ஆண், படகு, படகோட்டும்
🚤	billionaire, boat, lake, luxury, millionaire, speedboat, summer, travel, அதிவேக, கடல், படகு, பயணம், போட், ஸ்பீட்
🚥	horizontal, intersection, light, signal, stop, stoplight, traffic, கிடைமட்ட, சிக்னல்கள், டிராஃபிக், ட்ராஃபிக், போக்குவரத்து, லைட்டு, லைட்டுகள், விளக்குகள்
🚦	drove, intersection, light, signal, stop, stoplight, traffic, vertical, சிக்னல்கள், செங்குத்து, ட்ராஃபிக், போக்குவரத்து, லைட்டுகள், விளக்கு, விளக்குகள்
🚧	barrier, construction, கட்டுமான, சின்னம், தடுப்பு, நடைபெறுகிறது, பணி
🚨	alarm, alert, beacon, car, emergency, light, police, revolving, siren, அலாரம், காரின், கார்களில், சுழலும், சைரன், போலீஸ், வண்டி, விளக்கு
🚪	back, closet, door, front, கதவு, பின், மரக்கதவு, மரப்பொருள், முடிந்தது, முன், மூடு
🚬	cigarette, smoking, சிகரெட், சின்னம், புகை, புகைச், புகைத்தல், புகையிலை
🚲️	bicycle, bike, clas, class, cycle, cycling, cyclist, gang, ride, spin, spinning, உடற்பயிற்சி, சவாரி, சைக்கிளிங், சைக்கிள், மிதிவண்டி, வண்டி
🚴	bicycle, bicyclist, bike, biking, cycle, cyclist, person, riding, sport, உடற்பயிற்சி, ஓட்டுதல், ஓட்டுபவர், சவாரி, சைக்கிளிங், சைக்கிள், நபர், பயணம், பைக்கிங், விளையாட்டு
🚴‍♀️	bicycle, bicyclist, bike, biking, cycle, cyclist, riding, sport, woman, ஓட்டுதல், ஓட்டும், சவாரி, சைக்கிள், நபர், பெண், பைக்கிங், விளையாட்டு
🚴‍♂️	bicycle, bicyclist, bike, biking, cycle, cyclist, man, riding, sport, ஆண், ஓட்டுதல், ஓட்டும், சைக்கிள்
